epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.38,1.71024,2.21699,1.97238,0.08642,0.25968,0.0094,0.0028,2.3556,11.7428,3.01767,0.000473429,0.000473429,0.000473429
2,240.302,1.93971,2.32486,2.15114,0.64194,0.14183,0.10058,0.03608,2.5164,8.27086,3.16147,0.000930957,0.000930957,0.000930957
3,333.291,1.91499,2.35304,2.1439,0.59781,0.10304,0.07309,0.02576,2.53582,4.40096,3.11699,0.00136962,0.00136962,0.00136962
4,430.871,1.89149,2.28342,2.10952,0.68834,0.13734,0.13895,0.05616,2.31737,3.73872,2.82798,0.00134412,0.00134412,0.00134412
5,527.759,1.80793,2.21349,2.05071,0.64988,0.17068,0.13955,0.05955,2.17168,3.25722,2.5445,0.00131582,0.00131582,0.00131582
6,626.652,1.75181,2.11135,2.0038,0.78584,0.24083,0.25825,0.11638,1.99678,2.17039,2.40818,0.00128753,0.00128753,0.00128753
7,722.272,1.66994,2.00439,1.9509,0.38178,0.2784,0.28555,0.13115,1.99002,2.08413,2.52494,0.00125923,0.00125923,0.00125923
8,817.394,1.65011,1.93157,1.927,0.85251,0.27289,0.32184,0.16315,1.79137,1.82018,2.22864,0.00123094,0.00123094,0.00123094
9,911.069,1.62615,1.90785,1.90345,0.86534,0.26212,0.31006,0.15375,1.80598,1.83717,2.25788,0.00120265,0.00120265,0.00120265
10,1003.54,1.56925,1.84012,1.85459,0.86857,0.30208,0.35799,0.18126,1.77947,1.72098,2.23101,0.00117435,0.00117435,0.00117435
11,1097.4,1.58008,1.78374,1.83891,0.33697,0.39791,0.36032,0.18713,1.74505,1.68879,2.20469,0.00114606,0.00114606,0.00114606
12,1193.76,1.5316,1.73715,1.80713,0.3853,0.37509,0.3594,0.18399,1.69393,1.72531,2.16273,0.00111776,0.00111776,0.00111776
13,1289.97,1.47917,1.67144,1.77918,0.56058,0.29725,0.36965,0.18472,1.76307,1.95437,2.22579,0.00108947,0.00108947,0.00108947
14,1384.6,1.49841,1.66477,1.78325,0.40595,0.3597,0.37009,0.19365,1.67674,1.67765,2.13639,0.00106118,0.00106118,0.00106118
15,1483.58,1.46487,1.62478,1.76411,0.45911,0.49146,0.45781,0.23829,1.56167,1.52798,1.98151,0.00103288,0.00103288,0.00103288
16,1581.23,1.45477,1.5982,1.75052,0.40893,0.44919,0.41332,0.21465,1.64208,1.58116,2.12616,0.00100459,0.00100459,0.00100459
17,1677.84,1.41046,1.54302,1.73868,0.43053,0.44035,0.41775,0.22748,1.56088,1.49846,1.97868,0.000976293,0.000976293,0.000976293
18,1775.26,1.4105,1.57098,1.72004,0.37058,0.4283,0.41399,0.22479,1.59907,1.63973,2.02288,0.000947999,0.000947999,0.000947999
19,1869.93,1.39824,1.50805,1.7028,0.40886,0.48626,0.45296,0.24766,1.50869,1.39303,1.92438,0.000919704,0.000919704,0.000919704
20,1964.57,1.38036,1.50943,1.6812,0.44859,0.44651,0.44258,0.23985,1.55723,1.39881,1.97008,0.00089141,0.00089141,0.00089141
21,2057.31,1.36197,1.4578,1.6795,0.49017,0.47081,0.4596,0.25622,1.47232,1.26925,1.92168,0.000863116,0.000863116,0.000863116
22,2152.01,1.34125,1.43408,1.66988,0.52258,0.49505,0.49083,0.28067,1.44188,1.28273,1.88199,0.000834822,0.000834822,0.000834822
23,2246.34,1.34772,1.4407,1.66674,0.53644,0.51048,0.48956,0.2689,1.50215,1.2161,1.9096,0.000806528,0.000806528,0.000806528
24,2339.42,1.31775,1.36589,1.64024,0.64962,0.4459,0.50778,0.28338,1.47286,1.18313,1.87956,0.000778233,0.000778233,0.000778233
25,2433.71,1.3294,1.36461,1.64284,0.49108,0.47014,0.45084,0.25232,1.52697,1.30836,1.93478,0.000749939,0.000749939,0.000749939
26,2526.65,1.32516,1.36663,1.63078,0.53454,0.49026,0.50086,0.29207,1.41919,1.14201,1.82047,0.000721645,0.000721645,0.000721645
27,2621.3,1.31532,1.34326,1.63498,0.52437,0.51275,0.48432,0.28252,1.43951,1.23249,1.84535,0.000693351,0.000693351,0.000693351
28,2713.95,1.28971,1.3511,1.61703,0.52601,0.47651,0.50702,0.29517,1.36398,1.15898,1.78521,0.000665057,0.000665057,0.000665057
29,2808.38,1.30856,1.38699,1.62169,0.6618,0.48325,0.53082,0.30049,1.40141,1.16442,1.82226,0.000636762,0.000636762,0.000636762
30,2902.62,1.24828,1.27622,1.57244,0.56665,0.54817,0.52118,0.29258,1.4195,1.12018,1.84679,0.000608468,0.000608468,0.000608468
31,2993.85,1.24995,1.25503,1.5733,0.59244,0.53126,0.53195,0.30799,1.37148,1.07349,1.80021,0.000580174,0.000580174,0.000580174
32,3088.2,1.24749,1.24241,1.56258,0.59859,0.55331,0.55026,0.31303,1.36037,1.07034,1.77486,0.00055188,0.00055188,0.00055188
